City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
238,Pacific Grove,US,2022-11-30 21:11:38,36.6177,-121.9166,59.43,68,0,5.01
239,Nyurba,RU,2022-11-30 21:11:18,63.2842,118.3319,-24.39,97,99,5.26
240,Kaeo,NZ,2022-11-30 21:11:39,-35.1,173.7833,64.33,79,61,10.98
241,Bilma,NE,2022-11-30 21:11:39,18.6853,12.9164,66.96,30,8,7.34
242,Komsomolskiy,UZ,2022-11-30 21:11:40,40.4272,71.7189,48.92,71,40,13.8
243,Mar Del Plata,AR,2022-11-30 21:11:40,-38.0023,-57.5575,65.08,97,100,13.8
244,Antalaha,MG,2022-11-30 21:11:40,-14.9003,50.2788,71.4,92,8,4.54
245,Mount Gambier,AU,2022-11-30 21:11:41,-37.8333,140.7667,56.5,88,60,6.29
246,Mola Di Bari,IT,2022-11-30 21:11:41,41.0609,17.0873,53.31,84,100,14.79
247,Balapur,IN,2022-11-30 21:11:42,20.6667,76.7667,65.7,50,85,2.64
248,Aitape,PG,2022-11-30 21:11:42,-3.1374,142.3475,77.88,87,100,4.65
249,Saint-Francois,FR,2022-11-30 21:11:43,46.4154,3.9054,43.68,87,100,4.61
250,Pozo Colorado,PY,2022-11-30 21:11:44,-23.4923,-58.7972,99.16,20,31,7.65
251,Mlonggo,ID,2022-11-30 21:11:44,-6.5333,110.7,76.03,86,97,8.37
252,Vyazemskiy,RU,2022-11-30 21:11:45,47.5378,134.7525,-4.36,81,93,15.23
253,Luangwa,ZM,2022-11-30 21:11:45,-15.6167,30.4167,73.26,74,0,3.4
254,Quatre Cocos,MU,2022-11-30 21:11:46,-20.2078,57.7625,74.08,76,30,8.9
255,Timizart,DZ,2022-11-30 21:11:46,36.8,4.2667,48.43,72,9,4.63
256,Grand Gaube,MU,2022-11-30 21:11:47,-20.0064,57.6608,74.37,75,50,3.0
257,Laguna,US,2022-11-30 21:11:47,38.421,-121.4238,60.06,46,0,10.36
258,Cap-Aux-Meules,CA,2022-11-30 21:11:19,47.3821,-61.8597,36.86,65,100,23.29
259,Nawabganj,BD,2022-11-30 21:11:48,24.5911,88.271,65.62,63,0,7.16
260,Barabash,RU,2022-11-30 21:11:48,43.2,131.4833,10.65,54,69,9.15
261,Cabedelo,BR,2022-11-30 21:11:49,-6.9811,-34.8339,81.27,69,97,11.03
262,Walvis Bay,NA,2022-11-30 21:11:49,-22.9575,14.5053,62.1,80,2,13.98
263,Abatskoye,RU,2022-11-30 21:11:50,56.2875,70.4555,-5.69,88,92,6.31
264,Geraldton,AU,2022-11-30 21:08:22,-28.7667,114.6,68.41,68,100,9.22
265,Necochea,AR,2022-11-30 21:11:50,-38.5473,-58.7368,60.21,75,100,15.41
266,Ariogala,LT,2022-11-30 21:11:51,55.2667,23.4667,28.98,97,100,5.5
267,Ubon Ratchathani,TH,2022-11-30 21:11:51,15.1667,105.1667,75.11,84,81,3.4
268,Tarko-Sale,RU,2022-11-30 21:11:52,64.9225,77.785,-12.77,97,20,5.75
269,Yulara,AU,2022-11-30 21:11:52,-25.2406,130.9889,68.67,25,1,7.47
270,Mae Ramat,TH,2022-11-30 21:11:53,16.984,98.5166,76.8,97,100,1.1
271,Balakhninskiy,RU,2022-11-30 21:11:53,58.0106,114.2769,-4.74,95,100,9.01
272,Myitkyina,MM,2022-11-30 21:11:54,25.3833,97.4,63.64,66,50,2.59
273,Srednekolymsk,RU,2022-11-30 21:11:54,67.45,153.6833,-13.09,99,100,5.77
274,Isangel,VU,2022-11-30 21:07:48,-19.55,169.2667,82.89,75,100,7.02
275,Paamiut,GL,2022-11-30 21:11:55,61.994,-49.6678,25.93,84,100,46.22
276,Leningradskiy,RU,2022-11-30 21:12:56,69.3833,178.4167,3.45,95,94,3.6
277,San Quintin,MX,2022-11-30 21:08:03,30.4833,-115.95,61.14,62,14,11.1
